== SUMMARY.json vs bruts : 24 ecarts
    ('R7b', 0, 'cpu_s_vs_gnutime', 115.7, 116.0)
    ('R7b', 1, 'cpu_s_vs_gnutime', 113.5, 113.8)
    ('R7b', 2, 'cpu_s_vs_gnutime', 115.8, 116.0)
    ('R7b', 3, 'cpu_s_vs_gnutime', 112.8, 113.0)
    ('R7b', 4, 'cpu_s_vs_gnutime', 350.5, 351.7)
    ('R7b', 5, 'cpu_s_vs_gnutime', 364.0, 365.1)
    ('R7b', 6, 'cpu_s_vs_gnutime', 351.8, 353.0)
    ('R7b', 7, 'cpu_s_vs_gnutime', 363.7, 364.9)
    ('R7b', 8, 'cpu_s_vs_gnutime', 86.7, 86.9)
    ('R7b', 9, 'cpu_s_vs_gnutime', 88.7, 88.9)
    ('R7b', 10, 'cpu_s_vs_gnutime', 88.1, 88.3)
    ('R7b', 11, 'cpu_s_vs_gnutime', 86.7, 86.9)
    ('R7b', 12, 'cpu_s_vs_gnutime', 268.3, 269.3)
    ('R7b', 13, 'cpu_s_vs_gnutime', 278.7, 279.7)
    ('R7b', 14, 'cpu_s_vs_gnutime', 267.6, 268.6)
    ('R7b', 15, 'cpu_s_vs_gnutime', 276.5, 277.4)
    ('R7b', 16, 'cpu_s_vs_gnutime', 125.8, 126.1)
    ('R7b', 17, 'cpu_s_vs_gnutime', 124.9, 125.1)
    ('R7b', 18, 'cpu_s_vs_gnutime', 123.6, 123.9)
    ('R7b', 19, 'cpu_s_vs_gnutime', 124.7, 125.0)
    ('R7b', 20, 'cpu_s_vs_gnutime', 372.4, 373.6)
    ('R7b', 21, 'cpu_s_vs_gnutime', 381.4, 382.5)
    ('R7b', 22, 'cpu_s_vs_gnutime', 371.4, 372.7)
    ('R7b', 23, 'cpu_s_vs_gnutime', 380.4, 381.6)

== table brute (secondes ; other = prepare+gen_index+tower_index+residu hors digest si separe)
ses | pkg | i | frame | K | W | st | rep | def | q2 | q34 | merge | census | tower | other | digest | chain | chain_old | wall | cpu | gnuCPU | rssGiB | balls | nodes
R2 | 0b29b6c3 | 8 | 000200 | 5 | 48 | 48 | 1 | 1 | 0.532 | 15.031 | 0.185 | 0.104 | 4.063 | 0.247 | in | 20.163 | 20.163 | 20.250 | 657.8 | 657.8 | 1.17 | 1407885 | 1683088
R2 | 0b29b6c3 | 9 | 000000 | 10 | 48 | 48 | 1 | 1 | 0.766 | 23.686 | 0.775 | 0.475 | 22.857 | 1.066 | in | 49.625 | 49.625 | 49.890 | 1220.5 | 1220.8 | 4.64 | 5512670 | 7426215
R2 | 0b29b6c3 | 10 | 000100 | 10 | 48 | 48 | 1 | 1 | 0.415 | 17.509 | 0.618 | 0.359 | 17.377 | 0.858 | in | 37.136 | 37.136 | 37.344 | 905.3 | 905.5 | 3.80 | 4383302 | 5954045
R2 | 0b29b6c3 | 11 | 000200 | 10 | 48 | 48 | 1 | 1 | 0.828 | 38.928 | 0.776 | 0.447 | 22.367 | 1.073 | in | 64.418 | 64.418 | 64.674 | 1865.4 | 1865.6 | 4.68 | 5483320 | 7468379
R2 | 0b29b6c3 | 12 | 000000 | 10 | 24 | 24 | 0 | 1 | 0.974 | 29.621 | 0.780 | 0.572 | 23.454 | 1.064 | in | 56.466 | 56.466 | 56.694 | 792.5 | 792.7 | 4.43 | 5512670 | 7426215
R3 | b4e480fc | 0 | 000000 | 5 | 48 | 48 | 0 | 1 | 0.479 | 4.137 | 0.165 | 0.101 | 3.780 | 0.225 | in | 8.888 | 8.888 | 8.983 | 165.1 | 165.1 | 1.16 | 1306696 | 1541750
R3 | b4e480fc | 1 | 000000 | 5 | 48 | 48 | 0 | 0 | 0.456 | 8.191 | 0.167 | 0.101 | 3.793 | 0.225 | in | 12.934 | 12.934 | 12.989 | 398.3 | 398.3 | 1.13 | 1306696 | 1541750
R3 | b4e480fc | 2 | 000000 | 10 | 48 | 48 | 0 | 1 | 0.763 | 9.697 | 0.761 | 0.476 | 22.796 | 1.066 | in | 35.559 | 35.559 | 35.789 | 497.4 | 497.6 | 4.68 | 5512670 | 7426215
R3 | b4e480fc | 3 | 000000 | 10 | 48 | 48 | 0 | 0 | 0.783 | 22.567 | 0.791 | 0.478 | 22.640 | 1.068 | in | 48.327 | 48.327 | 48.557 | 1161.2 | 1161.4 | 4.68 | 5512670 | 7426215
R3 | b4e480fc | 4 | 000100 | 5 | 48 | 48 | 0 | 1 | 0.234 | 2.483 | 0.141 | 0.082 | 3.052 | 0.193 | in | 6.185 | 6.185 | 6.232 | 116.1 | 116.1 | 0.95 | 1095926 | 1306721
R3 | b4e480fc | 5 | 000100 | 5 | 48 | 48 | 0 | 0 | 0.248 | 6.426 | 0.142 | 0.082 | 3.034 | 0.193 | in | 10.125 | 10.125 | 10.182 | 313.8 | 313.8 | 0.94 | 1095926 | 1306721
R3 | b4e480fc | 6 | 000100 | 10 | 48 | 48 | 0 | 1 | 0.416 | 6.239 | 0.608 | 0.365 | 17.471 | 0.857 | in | 25.956 | 25.956 | 26.133 | 349.3 | 349.4 | 3.70 | 4383302 | 5954045
R3 | b4e480fc | 7 | 000100 | 10 | 48 | 48 | 0 | 0 | 0.444 | 16.628 | 0.606 | 0.365 | 17.387 | 0.856 | in | 36.286 | 36.286 | 36.476 | 862.2 | 862.4 | 3.69 | 4383302 | 5954045
R3 | b4e480fc | 8 | 000200 | 5 | 48 | 48 | 0 | 1 | 0.516 | 5.815 | 0.188 | 0.106 | 4.060 | 0.247 | in | 10.931 | 10.931 | 10.983 | 190.1 | 190.1 | 1.21 | 1407885 | 1683088
R3 | b4e480fc | 9 | 000200 | 5 | 48 | 48 | 0 | 0 | 0.502 | 14.630 | 0.181 | 0.105 | 4.048 | 0.247 | in | 19.713 | 19.713 | 19.803 | 641.6 | 641.7 | 1.16 | 1407885 | 1683088
R3 | b4e480fc | 10 | 000200 | 10 | 48 | 48 | 0 | 1 | 0.839 | 12.489 | 0.748 | 0.453 | 22.143 | 1.074 | in | 37.747 | 37.747 | 37.988 | 544.3 | 544.5 | 4.70 | 5483320 | 7468379
R3 | b4e480fc | 11 | 000200 | 10 | 48 | 48 | 0 | 0 | 0.853 | 37.746 | 0.774 | 0.453 | 22.085 | 1.074 | in | 62.985 | 62.985 | 63.224 | 1799.1 | 1799.3 | 4.69 | 5483320 | 7468379
R3 | b4e480fc | 12 | 000000 | 10 | 48 | 48 | 1 | 1 | 0.760 | 9.729 | 0.752 | 0.476 | 22.676 | 1.067 | in | 35.460 | 35.460 | 35.684 | 498.9 | 499.1 | 4.67 | 5512670 | 7426215
R3 | b4e480fc | 13 | 000000 | 10 | 24 | 24 | 0 | 1 | 0.971 | 12.388 | 0.763 | 0.575 | 23.159 | 1.067 | in | 38.923 | 38.923 | 39.170 | 345.2 | 345.4 | 4.14 | 5512670 | 7426215
R4b | a1d7a9bc | 0 | 000000 | 5 | 48 | 48 | 0 | 1 | 0.452 | 3.964 | 0.173 | 0.100 | 2.474 | 0.225 | in | 7.388 | 7.388 | 7.480 | 137.9 | 137.9 | 1.16 | 1306696 | 1541750
R4b | a1d7a9bc | 1 | 000000 | 5 | 48 | 48 | 0 | 0 | 0.458 | 4.222 | 0.170 | 0.101 | 2.450 | 0.226 | in | 7.626 | 7.626 | 7.679 | 169.6 | 169.6 | 1.15 | 1306696 | 1541750
R4b | a1d7a9bc | 2 | 000000 | 10 | 48 | 48 | 0 | 1 | 0.758 | 8.711 | 0.789 | 0.477 | 14.890 | 1.063 | in | 26.688 | 26.688 | 26.931 | 446.6 | 446.8 | 4.92 | 5512670 | 7426215
R4b | a1d7a9bc | 3 | 000000 | 10 | 48 | 48 | 0 | 0 | 0.784 | 9.164 | 0.790 | 0.482 | 14.955 | 1.066 | in | 27.241 | 27.241 | 27.474 | 488.4 | 488.6 | 4.83 | 5512670 | 7426215
R4b | a1d7a9bc | 4 | 000100 | 5 | 48 | 48 | 0 | 1 | 0.247 | 2.758 | 0.149 | 0.084 | 2.005 | 0.195 | in | 5.439 | 5.439 | 5.527 | 102.9 | 103.0 | 0.98 | 1095926 | 1306721
R4b | a1d7a9bc | 5 | 000100 | 5 | 48 | 48 | 0 | 0 | 0.232 | 2.895 | 0.147 | 0.084 | 2.013 | 0.194 | in | 5.565 | 5.565 | 5.629 | 116.3 | 116.3 | 0.94 | 1095926 | 1306721
R4b | a1d7a9bc | 6 | 000100 | 10 | 48 | 48 | 0 | 1 | 0.423 | 5.715 | 0.621 | 0.364 | 11.416 | 0.860 | in | 19.398 | 19.398 | 19.612 | 321.7 | 321.8 | 3.98 | 4383302 | 5954045
R4b | a1d7a9bc | 7 | 000100 | 10 | 48 | 48 | 0 | 0 | 0.440 | 5.914 | 0.618 | 0.371 | 11.440 | 0.856 | in | 19.639 | 19.639 | 19.859 | 340.3 | 340.4 | 3.93 | 4383302 | 5954045
R4b | a1d7a9bc | 8 | 000200 | 5 | 48 | 48 | 0 | 1 | 0.502 | 5.477 | 0.191 | 0.109 | 2.653 | 0.251 | in | 9.182 | 9.182 | 9.285 | 163.0 | 163.1 | 1.24 | 1407885 | 1683088
R4b | a1d7a9bc | 9 | 000200 | 5 | 48 | 48 | 0 | 0 | 0.499 | 5.609 | 0.187 | 0.108 | 2.706 | 0.250 | in | 9.359 | 9.359 | 9.431 | 182.8 | 182.8 | 1.25 | 1407885 | 1683088
R4b | a1d7a9bc | 10 | 000200 | 10 | 48 | 48 | 0 | 1 | 0.831 | 11.757 | 0.792 | 0.458 | 14.582 | 1.078 | in | 29.500 | 29.500 | 29.770 | 486.0 | 486.3 | 4.87 | 5483320 | 7468379
R4b | a1d7a9bc | 11 | 000200 | 10 | 48 | 48 | 0 | 0 | 0.864 | 12.721 | 0.785 | 0.456 | 14.490 | 1.080 | in | 30.394 | 30.394 | 30.677 | 530.2 | 530.5 | 4.90 | 5483320 | 7468379
R4b | a1d7a9bc | 12 | 000000 | 10 | 48 | 48 | 1 | 1 | 0.757 | 8.634 | 0.783 | 0.483 | 14.981 | 1.074 | in | 26.712 | 26.712 | 26.966 | 446.9 | 447.2 | 4.89 | 5512670 | 7426215
R5 | aae9da0e | 0 | 000000 | 5 | 48 | 48 | 0 | 1 | 0.469 | 3.973 | 0.172 | 0.101 | 1.023 | 0.247 | in | 5.984 | 5.984 | 6.028 | 131.8 | 131.8 | 1.09 | 1306696 | 1541750
R5 | aae9da0e | 1 | 000000 | 10 | 48 | 48 | 0 | 1 | 0.778 | 8.572 | 0.784 | 0.478 | 5.368 | 1.387 | in | 17.369 | 17.369 | 17.560 | 424.8 | 425.0 | 4.48 | 5512670 | 7426215
R5 | aae9da0e | 2 | 000100 | 5 | 48 | 48 | 0 | 1 | 0.254 | 2.794 | 0.148 | 0.085 | 0.857 | 0.194 | in | 4.332 | 4.332 | 4.424 | 102.9 | 103.0 | 1.04 | 1095926 | 1306721
R5 | aae9da0e | 3 | 000100 | 10 | 48 | 48 | 0 | 1 | 0.431 | 5.497 | 0.613 | 0.368 | 4.147 | 1.032 | in | 12.088 | 12.088 | 12.297 | 312.3 | 312.4 | 3.76 | 4383302 | 5954045
R5 | aae9da0e | 4 | 000200 | 5 | 48 | 48 | 0 | 1 | 0.516 | 5.188 | 0.189 | 0.108 | 1.093 | 0.285 | in | 7.379 | 7.379 | 7.478 | 154.2 | 154.2 | 1.22 | 1407885 | 1683088
R5 | aae9da0e | 5 | 000200 | 10 | 48 | 48 | 0 | 1 | 0.831 | 11.197 | 0.784 | 0.458 | 4.849 | 1.448 | in | 19.566 | 19.566 | 19.758 | 459.8 | 460.0 | 4.72 | 5483320 | 7468379
R5 | aae9da0e | 6 | 000000 | 5 | 48 | 48 | 1 | 1 | 0.477 | 3.874 | 0.175 | 0.103 | 1.044 | 0.283 | in | 5.957 | 5.957 | 6.027 | 130.3 | 130.3 | 1.10 | 1306696 | 1541750
R5 | aae9da0e | 7 | 000000 | 10 | 48 | 48 | 1 | 1 | 0.755 | 8.354 | 0.783 | 0.480 | 5.264 | 1.369 | in | 17.005 | 17.005 | 17.255 | 425.0 | 425.2 | 4.54 | 5512670 | 7426215
R5 | aae9da0e | 8 | 000100 | 5 | 48 | 48 | 1 | 1 | 0.229 | 2.721 | 0.147 | 0.085 | 0.843 | 0.238 | in | 4.263 | 4.263 | 4.328 | 103.3 | 103.3 | 1.01 | 1095926 | 1306721
R5 | aae9da0e | 9 | 000100 | 10 | 48 | 48 | 1 | 1 | 0.436 | 5.558 | 0.631 | 0.366 | 4.012 | 1.064 | in | 12.067 | 12.067 | 12.200 | 310.6 | 310.7 | 3.71 | 4383302 | 5954045
R5 | aae9da0e | 10 | 000200 | 5 | 48 | 48 | 1 | 1 | 0.493 | 5.184 | 0.189 | 0.109 | 1.099 | 0.328 | in | 7.402 | 7.402 | 7.480 | 154.7 | 154.8 | 1.21 | 1407885 | 1683088
R5 | aae9da0e | 11 | 000200 | 10 | 48 | 48 | 1 | 1 | 0.816 | 10.885 | 0.789 | 0.457 | 4.956 | 1.374 | in | 19.277 | 19.277 | 19.466 | 461.8 | 461.9 | 4.71 | 5483320 | 7468379
R5 | aae9da0e | 12 | 000000 | 10 | 24 | 24 | 0 | 1 | 0.963 | 12.148 | 0.797 | 0.581 | 5.890 | 1.207 | in | 21.586 | 21.586 | 21.909 | 299.7 | 300.0 | 4.22 | 5512670 | 7426215
R6 | 78ce9fd4 | 0 | 000000 | 5 | 48 | 48 | 0 | 1 | 0.467 | 3.945 | 0.169 | 0.102 | 1.069 | 0.249 | in | 6.000 | 6.000 | 6.086 | 112.7 | 112.7 | 1.09 | 1306696 | 1541750
R6 | 78ce9fd4 | 1 | 000000 | 5 | 48 | 48 | 0 | 0 | 0.455 | 3.978 | 0.172 | 0.102 | 1.042 | 0.282 | in | 6.031 | 6.031 | 6.080 | 131.3 | 131.4 | 1.10 | 1306696 | 1541750
R6 | 78ce9fd4 | 2 | 000000 | 5 | 48 | 48 | 1 | 1 | 0.463 | 3.728 | 0.171 | 0.101 | 1.046 | 0.257 | in | 5.765 | 5.765 | 5.828 | 112.5 | 112.5 | 1.09 | 1306696 | 1541750
R6 | 78ce9fd4 | 3 | 000000 | 5 | 48 | 48 | 1 | 0 | 0.458 | 3.915 | 0.173 | 0.102 | 1.068 | 0.280 | in | 5.996 | 5.996 | 6.080 | 130.4 | 130.4 | 1.11 | 1306696 | 1541750
R6 | 78ce9fd4 | 4 | 000000 | 10 | 48 | 48 | 0 | 1 | 0.771 | 8.129 | 0.771 | 0.473 | 5.224 | 1.400 | in | 16.768 | 16.768 | 16.955 | 368.4 | 368.6 | 4.52 | 5512670 | 7426215
R6 | 78ce9fd4 | 5 | 000000 | 10 | 48 | 48 | 0 | 0 | 0.751 | 8.452 | 0.768 | 0.477 | 5.371 | 1.362 | in | 17.180 | 17.180 | 17.366 | 423.4 | 423.6 | 4.51 | 5512670 | 7426215
R6 | 78ce9fd4 | 6 | 000000 | 10 | 48 | 48 | 1 | 1 | 0.760 | 8.080 | 0.766 | 0.477 | 5.258 | 1.323 | in | 16.666 | 16.666 | 16.906 | 368.2 | 368.4 | 4.64 | 5512670 | 7426215
R6 | 78ce9fd4 | 7 | 000000 | 10 | 48 | 48 | 1 | 0 | 0.777 | 8.371 | 0.776 | 0.475 | 5.266 | 1.362 | in | 17.028 | 17.028 | 17.215 | 421.0 | 421.1 | 4.47 | 5512670 | 7426215
R6 | 78ce9fd4 | 8 | 000100 | 5 | 48 | 48 | 0 | 1 | 0.245 | 2.634 | 0.147 | 0.085 | 0.829 | 0.212 | in | 4.151 | 4.151 | 4.226 | 91.1 | 91.2 | 1.02 | 1095926 | 1306721
R6 | 78ce9fd4 | 9 | 000100 | 5 | 48 | 48 | 0 | 0 | 0.241 | 2.692 | 0.144 | 0.083 | 0.835 | 0.217 | in | 4.212 | 4.212 | 4.274 | 99.2 | 99.2 | 1.01 | 1095926 | 1306721
R6 | 78ce9fd4 | 10 | 000100 | 5 | 48 | 48 | 1 | 1 | 0.235 | 2.610 | 0.145 | 0.085 | 0.859 | 0.217 | in | 4.151 | 4.151 | 4.224 | 90.7 | 90.7 | 1.03 | 1095926 | 1306721
R6 | 78ce9fd4 | 11 | 000100 | 5 | 48 | 48 | 1 | 0 | 0.229 | 2.731 | 0.142 | 0.084 | 0.839 | 0.218 | in | 4.243 | 4.243 | 4.323 | 103.1 | 103.2 | 1.02 | 1095926 | 1306721
R6 | 78ce9fd4 | 12 | 000100 | 10 | 48 | 48 | 0 | 1 | 0.414 | 5.321 | 0.616 | 0.366 | 3.997 | 1.011 | in | 11.726 | 11.726 | 11.949 | 278.8 | 279.0 | 3.70 | 4383302 | 5954045
R6 | 78ce9fd4 | 13 | 000100 | 10 | 48 | 48 | 0 | 0 | 0.436 | 5.528 | 0.612 | 0.367 | 3.964 | 1.104 | in | 12.012 | 12.012 | 12.142 | 310.1 | 310.2 | 3.55 | 4383302 | 5954045
R6 | 78ce9fd4 | 14 | 000100 | 10 | 48 | 48 | 1 | 1 | 0.436 | 5.254 | 0.618 | 0.368 | 4.130 | 1.094 | in | 11.900 | 11.900 | 12.040 | 278.7 | 278.9 | 3.51 | 4383302 | 5954045
R6 | 78ce9fd4 | 15 | 000100 | 10 | 48 | 48 | 1 | 0 | 0.431 | 5.492 | 0.611 | 0.369 | 4.079 | 1.085 | in | 12.067 | 12.067 | 12.207 | 309.1 | 309.2 | 3.59 | 4383302 | 5954045
R6 | 78ce9fd4 | 16 | 000200 | 5 | 48 | 48 | 0 | 1 | 0.490 | 4.628 | 0.189 | 0.108 | 1.119 | 0.334 | in | 6.869 | 6.869 | 6.929 | 122.3 | 122.3 | 1.19 | 1407885 | 1683088
R6 | 78ce9fd4 | 17 | 000200 | 5 | 48 | 48 | 0 | 0 | 0.498 | 5.312 | 0.185 | 0.108 | 1.113 | 0.304 | in | 7.520 | 7.520 | 7.580 | 155.2 | 155.2 | 1.21 | 1407885 | 1683088
R6 | 78ce9fd4 | 18 | 000200 | 5 | 48 | 48 | 1 | 1 | 0.506 | 4.657 | 0.187 | 0.109 | 1.130 | 0.328 | in | 6.917 | 6.917 | 6.978 | 122.8 | 122.8 | 1.19 | 1407885 | 1683088
R6 | 78ce9fd4 | 19 | 000200 | 5 | 48 | 48 | 1 | 0 | 0.510 | 5.202 | 0.186 | 0.108 | 1.101 | 0.312 | in | 7.419 | 7.419 | 7.481 | 152.8 | 152.8 | 1.22 | 1407885 | 1683088
R6 | 78ce9fd4 | 20 | 000200 | 10 | 48 | 48 | 0 | 1 | 0.822 | 9.716 | 0.768 | 0.453 | 4.980 | 1.323 | in | 18.062 | 18.062 | 18.267 | 383.6 | 383.7 | 4.63 | 5483320 | 7468379
R6 | 78ce9fd4 | 21 | 000200 | 10 | 48 | 48 | 0 | 0 | 0.827 | 11.129 | 0.777 | 0.455 | 4.938 | 1.217 | in | 19.343 | 19.343 | 19.616 | 456.0 | 456.3 | 4.64 | 5483320 | 7468379
R6 | 78ce9fd4 | 22 | 000200 | 10 | 48 | 48 | 1 | 1 | 0.821 | 9.829 | 0.773 | 0.456 | 4.985 | 1.246 | in | 18.110 | 18.110 | 18.318 | 384.0 | 384.2 | 4.68 | 5483320 | 7468379
R6 | 78ce9fd4 | 23 | 000200 | 10 | 48 | 48 | 1 | 0 | 0.842 | 11.491 | 0.759 | 0.452 | 4.879 | 1.400 | in | 19.824 | 19.824 | 20.052 | 458.7 | 458.9 | 4.66 | 5483320 | 7468379
R7b | 8e8b83a3 | 0 | 000000 | 5 | 48 | 48 | 0 | 1 | 0.452 | 4.112 | 0.042 | 0.097 | 0.903 | 0.091 | 0.191 | 5.697 | 5.888 | 5.933 | 115.7 | 116.0 | 1.22 | 1306696 | 1541750
R7b | 8e8b83a3 | 1 | 000000 | 5 | 48 | 48 | 0 | 0 | 0.462 | 3.953 | 0.040 | 0.098 | 0.902 | 0.060 | 0.192 | 5.513 | 5.705 | 5.779 | 113.5 | 113.8 | 1.20 | 1306696 | 1541750
R7b | 8e8b83a3 | 2 | 000000 | 5 | 48 | 48 | 1 | 1 | 0.454 | 4.021 | 0.039 | 0.098 | 0.909 | 0.037 | 0.191 | 5.557 | 5.748 | 5.825 | 115.8 | 116.0 | 1.18 | 1306696 | 1541750
R7b | 8e8b83a3 | 3 | 000000 | 5 | 48 | 48 | 1 | 0 | 0.455 | 3.777 | 0.041 | 0.099 | 0.875 | 0.068 | 0.192 | 5.314 | 5.506 | 5.577 | 112.8 | 113.0 | 1.20 | 1306696 | 1541750
R7b | 8e8b83a3 | 4 | 000000 | 10 | 48 | 48 | 0 | 1 | 0.747 | 8.167 | 0.109 | 0.465 | 4.062 | 0.381 | 0.999 | 13.930 | 14.929 | 15.156 | 350.5 | 351.7 | 4.81 | 5512670 | 7426215
R7b | 8e8b83a3 | 5 | 000000 | 10 | 48 | 48 | 0 | 0 | 0.750 | 8.201 | 0.107 | 0.470 | 4.372 | 0.396 | 0.995 | 14.295 | 15.290 | 15.455 | 364.0 | 365.1 | 4.70 | 5512670 | 7426215
R7b | 8e8b83a3 | 6 | 000000 | 10 | 48 | 48 | 1 | 1 | 0.762 | 8.229 | 0.104 | 0.465 | 3.969 | 0.383 | 0.997 | 13.913 | 14.910 | 15.105 | 351.8 | 353.0 | 4.88 | 5512670 | 7426215
R7b | 8e8b83a3 | 7 | 000000 | 10 | 48 | 48 | 1 | 0 | 0.764 | 8.260 | 0.108 | 0.467 | 4.397 | 0.273 | 0.997 | 14.270 | 15.267 | 15.508 | 363.7 | 364.9 | 4.90 | 5512670 | 7426215
